"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","F","18","U","GT3","A","4","4","at_home","teacher","course","mother","2","2","0","yes","no","no","no","yes","yes","no","no","4","3","4","1","1","3","6","5","6","6"
"GP","F","17","U","GT3","T","1","1","at_home","other","course","father","1","2","0","no","yes","no","no","no","yes","yes","no","5","3","3","1","1","3","4","5","5","6"
"GP","F","17","U","GT3","A","4","4","other","teacher","home","mother","2","2","0","yes","yes","no","no","yes","yes","no","no","4","1","4","1","1","1","6","6","5","6"
"GP","M","17","U","GT3","T","3","2","services","services","course","mother","1","1","3","no","yes","no","yes","yes","yes","yes","no","5","5","5","2","4","5","16","6","5","5"
"GP","F","15","U","GT3","T","2","3","other","other","other","father","2","1","0","no","yes","no","yes","yes","yes","no","no","3","5","1","1","1","5","0","8","7","6"
"GP","F","15","U","LE3","A","4","3","other","other","course","mother","1","2","0","yes","yes","yes","yes","yes","yes","yes","yes","5","2","2","1","1","5","8","8","8","6"
"GP","F","16","U","GT3","T","3","1","services","other","course","mother","1","4","0","yes","yes","yes","no","yes","yes","yes","no","4","3","3","1","2","5","4","7","7","6"
"GP","F","15","R","GT3","T","1","1","other","other","reputation","mother","1","2","2","yes","yes","no","no","no","yes","yes","yes","3","3","4","2","4","5","2","8","6","5"
"GP","F","16","U","GT3","T","3","4","at_home","other","course","mother","1","2","0","no","yes","no","no","yes","yes","yes","no","2","4","3","1","2","3","12","5","5","5"
"GP","F","15","U","LE3","T","3","2","services","other","reputation","mother","1","2","0","no","yes","yes","no","yes","yes","yes","no","4","4","4","1","1","5","10","7","6","6"
"GP","F","16","U","LE3","T","2","2","at_home","other","course","mother","1","2","0","no","yes","no","no","yes","yes","no","no","4","3","4","1","2","2","4","8","7","6"
"GP","F","16","U","LE3","T","3","1","other","other","home","father","1","2","0","yes","yes","no","no","yes","yes","no","no","3","3","3","2","3","2","4","7","6","6"
"GP","M","16","U","GT3","T","4","4","services","services","other","mother","1","1","0","yes","yes","yes","yes","yes","yes","yes","no","4","5","5","5","5","4","14","7","7","5"
"GP","F","15","U","GT3","T","3","2","services","other","home","mother","2","2","0","yes","yes","yes","no","yes","yes","yes","no","4","3","5","1","1","2","26","7","6","6"
"GP","M","18","R","GT3","T","2","2","services","other","reputation","mother","1","1","2","no","yes","no","yes","yes","yes","yes","no","3","3","3","1","2","4","0","7","4","0"
"GP","F","15","R","GT3","T","3","4","services","teacher","course","father","2","3","2","no","yes","no","no","yes","yes","yes","yes","4","2","2","2","2","5","0","12","0","0"
"GP","F","15","U","GT3","T","1","1","at_home","other","course","mother","3","1","0","no","yes","no","yes","no","yes","yes","yes","4","3","3","1","2","4","0","8","0","0"
"GP","M","15","R","GT3","T","3","4","at_home","teacher","course","mother","4","2","0","no","yes","no","no","yes","yes","no","yes","5","3","3","1","1","5","0","9","0","0"
"GP","F","15","U","GT3","T","4","4","services","at_home","course","mother","1","3","0","no","yes","no","yes","yes","yes","yes","yes","4","3","3","1","1","5","0","11","0","0"
"GP","M","17","R","GT3","T","3","4","at_home","other","course","mother","3","2","0","no","no","no","no","yes","yes","no","no","5","4","5","2","4","5","0","10","0","0"
"GP","F","16","U","GT3","A","3","3","other","other","course","other","2","1","2","no","yes","no","yes","no","yes","yes","yes","4","3","2","1","1","5","0","4","0","0"
"GP","M","15","U","GT3","T","4","3","teacher","services","course","father","2","4","0","yes","yes","no","no","yes","yes","yes","no","2","2","2","1","1","3","0","7","9","0"
"GP","M","17","U","GT3","T","2","1","other","other","home","mother","1","1","3","no","yes","no","no","yes","yes","yes","no","5","4","5","1","2","5","0","5","0","0"
"GP","F","15","U","GT3","T","3","2","health","services","home","father","1","2","3","no","yes","no","no","yes","yes","yes","no","3","3","2","1","1","3","0","6","7","0"
"GP","M","16","U","GT3","T","4","4","teacher","teacher","course","mother","1","1","0","no","yes","no","no","yes","no","yes","yes","3","3","2","2","1","5","0","7","6","0"
"GP","M","18","U","LE3","T","1","1","other","other","course","mother","1","1","3","no","no","no","no","yes","no","yes","yes","2","3","5","2","5","4","0","6","5","0"
"GP","M","19","U","GT3","T","3","2","services","at_home","home","mother","1","1","3","no","yes","no","no","yes","no","yes","yes","4","5","4","1","1","4","0","5","0","0"
"GP","M","17","R","LE3","T","2","1","at_home","other","course","mother","2","1","2","no","no","no","yes","yes","no","yes","yes","3","3","2","2","2","5","0","7","6","0"
"GP","M","16","U","LE3","T","1","2","other","other","course","mother","2","1","1","no","no","no","yes","yes","yes","no","no","4","4","4","2","4","5","0","7","0","0"
"GP","F","16","U","GT3","T","2","2","other","other","home","mother","1","2","0","no","yes","yes","no","no","yes","yes","no","5","1","5","1","1","4","0","6","7","0"
