"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","F","16","U","LE3","T","2","2","at_home","other","course","mother","1","2","0","no","yes","no","no","yes","yes","no","no","4","3","4","1","2","2","4","8","7","6"
"GP","F","16","U","LE3","T","3","1","other","other","home","father","1","2","0","yes","yes","no","no","yes","yes","no","no","3","3","3","2","3","2","4","7","6","6"
"GP","F","15","U","GT3","T","3","2","services","other","home","mother","2","2","0","yes","yes","yes","no","yes","yes","yes","no","4","3","5","1","1","2","26","7","6","6"
"GP","M","16","U","GT3","T","3","4","other","other","course","father","3","1","2","no","yes","no","yes","no","yes","yes","no","3","4","5","2","4","2","0","6","5","0"
"GP","M","18","U","GT3","T","2","2","other","services","reputation","father","1","2","1","no","no","no","no","yes","no","yes","no","5","5","4","3","5","2","0","7","7","0"
"GP","F","17","U","LE3","T","2","2","services","services","course","father","1","4","0","no","no","yes","yes","yes","yes","yes","yes","3","4","1","1","1","2","0","10","9","0"
"GP","F","19","U","GT3","T","4","4","health","other","reputation","other","2","2","0","no","yes","yes","yes","yes","yes","yes","no","2","3","4","2","3","2","0","10","9","0"
"GP","F","18","U","LE3","T","2","2","other","other","home","other","1","2","0","no","no","no","yes","no","yes","yes","yes","4","3","3","1","1","2","0","8","8","0"
"GP","F","17","U","GT3","T","3","2","other","other","home","mother","1","2","0","no","yes","yes","no","yes","yes","yes","yes","4","3","2","2","3","2","0","7","8","0"
"GP","M","18","U","GT3","T","4","4","teacher","services","home","father","1","2","1","no","yes","no","yes","yes","yes","yes","no","4","3","3","2","2","2","0","10","10","0"
