"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","M","15","U","GT3","T","4","2","health","services","other","mother","1","1","0","no","no","yes","no","yes","yes","yes","no","2","2","4","2","4","1","4","15","16","15"
"GP","M","15","U","LE3","A","4","2","health","health","other","father","2","1","1","no","no","no","no","yes","yes","no","no","5","5","5","3","4","5","6","11","11","10"
"GP","F","15","U","LE3","A","3","3","other","other","other","mother","1","1","0","no","no","yes","no","yes","yes","yes","no","5","3","4","4","4","1","6","10","13","13"
"GP","F","15","U","LE3","T","4","3","services","services","reputation","father","1","2","0","yes","no","no","yes","yes","yes","yes","yes","4","4","4","2","4","2","0","10","10","10"
"GP","M","16","R","GT3","T","4","4","teacher","teacher","course","mother","1","1","0","no","no","yes","yes","yes","yes","yes","no","3","5","5","2","5","4","8","18","18","18"
"GP","F","16","U","GT3","A","3","4","services","other","course","father","1","1","0","no","no","no","no","yes","yes","yes","no","3","2","1","1","4","5","16","12","11","11"
"GP","M","17","R","GT3","T","3","4","at_home","other","course","mother","3","2","0","no","no","no","no","yes","yes","no","no","5","4","5","2","4","5","0","10","0","0"
"GP","M","15","U","LE3","A","2","1","services","other","course","mother","4","1","3","no","no","no","no","yes","yes","yes","no","4","5","5","2","5","5","0","8","9","10"
"GP","M","18","U","LE3","T","1","1","other","other","course","mother","1","1","3","no","no","no","no","yes","no","yes","yes","2","3","5","2","5","4","0","6","5","0"
"GP","M","16","U","LE3","T","2","1","at_home","other","course","mother","1","1","1","no","no","no","yes","yes","yes","no","yes","4","4","4","3","5","5","6","12","13","14"
"GP","M","16","U","LE3","T","1","2","other","other","course","mother","2","1","1","no","no","no","yes","yes","yes","no","no","4","4","4","2","4","5","0","7","0","0"
"GP","M","17","U","GT3","T","1","3","at_home","services","course","father","1","1","0","no","no","no","no","yes","no","yes","no","5","3","3","1","4","2","2","10","10","10"
